date,currency,rate
2026-01-19,AZN,302.1600
2026-01-19,BRL,95.4100
2026-01-19,BYN,177.7200
2026-01-19,CAD,368.6700
2026-01-19,CHF,638.9200
2026-01-19,CNY,73.4900
2026-01-19,CZK,24.5200
2026-01-19,DKK,79.6100
2026-01-19,EUR,594.7200
2026-01-19,GBP,686.5000
2026-01-19,GEL,192.2500
2026-01-19,HKD,65.6600
2026-01-19,HUF,15.4400
2026-01-19,INR,5.6400
2026-01-19,IRR,0.5000
2026-01-19,JPY,3.2400
2026-01-19,KGS,5.8600
2026-01-19,KRW,34.7600
2026-01-19,KWD,1675.0900
2026-01-19,MDL,30.1800
2026-01-19,MXN,29.0200
2026-01-19,MYR,126.3000
2026-01-19,NOK,50.8100
2026-01-19,PLN,140.9200
2026-01-19,RUB,6.5700
2026-01-19,SAR,136.5800
2026-01-19,SEK,55.5600
2026-01-19,SGD,397.7600
2026-01-19,THB,16.3100
2026-01-19,TJS,55.2500
2026-01-19,TRY,11.8300
2026-01-19,UAH,11.8100
2026-01-19,USD,512.1600
2026-01-19,UZS,4.2800
2026-01-19,XDR,698.6300
2026-01-19,ZAR,31.2600
